PITCH,REQUIRED_WIDTH,,,,,,,
M1220,85.27,,,,,,,
M1220,85.92,,,,,,,
M1220,86.58,,,,,,,
M1220,87.23,,,,,,,
M1220,87.89,,,,,,,
M1220,88.55,,,,,,,
M1220,89.20,,,,,,,
M1220,89.86,,,,,,,
M1220,90.51,,,,,,,
M1220,91.17,,,,,,,
M1220,91.83,,,,,,,
M1220,92.48,,,,,,,
M1220,93.14,,,,,,,
M1220,93.79,,,,,,,
M1220,94.45,,,,,,,
M1220,95.11,,,,,,,
M1220,95.76,,,,,,,
M1220,96.42,,,,,,,
M1220,97.07,,,,,,,
M1220,97.73,,,,,,,
M1220,98.39,,,,,,,
M1220,99.04,,,,,,,
M1220,99.70,,,,,,,
M1220,100.35,,,,,,,
M1220,101.01,,,,,,,
M1220,101.66,,,,,,,
M1220,102.32,,,,,,,
M1220,102.98,,,,,,,
M1220,103.63,,,,,,,
M1220,104.29,,,,,,,
M1220,104.94,,,,,,,
M1220,105.60,,,,,,,
M1220,106.26,,,,,,,
M1220,106.91,,,,,,,
M1220,107.57,,,,,,,
M1220,108.22,,,,,,,
M1220,108.88,,,,,,,
M1220,109.54,,,,,,,
M1220,110.19,,,,,,,
M1220,110.85,,,,,,,
M1220,111.50,,,,,,,
M1220,112.16,,,,,,,
M1220,112.81,,,,,,,
M1220,113.47,,,,,,,
M1220,114.13,,,,,,,
M1220,114.78,,,,,,,
M1220,115.44,,,,,,,
M1220,116.09,,,,,,,
M1220,116.75,,,,,,,
M1220,117.41,,,,,,,
M1220,118.06,,,,,,,
M1220,118.72,,,,,,,
M1220,119.37,,,,,,,
M1220,120.03,,,,,,,
M1220,120.69,,,,,,,
M1220,121.34,,,,,,,
M1220,122.00,,,,,,,
M1220,122.65,,,,,,,
M1220,123.31,,,,,,,
M1220,123.97,,,,,,,
M1220,124.62,,,,,,,
M1220,125.28,,,,,,,
M1220,125.93,,,,,,,
M1220,126.59,,,,,,,
M1220,127.24,,,,,,,
M1220,127.90,,,,,,,
M1220,128.56,,,,,,,
M1220,129.21,,,,,,,
M1220,129.87,,,,,,,
M1220,130.52,,,,,,,
M1220,131.18,,,,,,,
M1220,131.84,,,,,,,
M1220,132.49,,,,,,,
M1220,133.15,,,,,,,
M1220,133.80,,,,,,,
M1220,134.46,,,,,,,
M1220,135.12,,,,,,,
M1220,135.77,,,,,,,
M1220,136.43,,,,,,,
M1220,137.08,,,,,,,
M1220,137.74,,,,,,,
M1220,138.39,,,,,,,
M1220,139.05,,,,,,,
M1220,139.71,,,,,,,
M1220,140.36,,,,,,,
M1220,141.02,,,,,,,
M1220,141.67,,,,,,,
M1220,142.33,,,,,,,
M1220,142.99,,,,,,,
M1220,143.64,,,,,,,
M1220,144.30,,,,,,,
M1220,144.95,,,,,,,
M1220,145.61,,,,,,,
M1220,146.27,,,,,,,
M1220,146.92,,,,,,,
M1220,147.58,,,,,,,
M1220,148.23,,,,,,,
M1220,148.89,,,,,,,
M1220,149.55,,,,,,,
M1220,150.20,,,,,,,
M1220,150.86,,,,,,,
M1220,151.51,,,,,,,
M1220,152.17,,,,,,,
M1220,152.82,,,,,,,
M1220,153.48,,,,,,,
M1220,154.14,,,,,,,
M1220,154.79,,,,,,,
M1220,155.45,,,,,,,
M1220,156.10,,,,,,,
M1220,156.76,,,,,,,
M1220,157.42,,,,,,,
M1220,158.07,,,,,,,
M1220,158.73,,,,,,,
M1220,159.38,,,,,,,
M1220,160.04,,,,,,,
M1220,160.70,,,,,,,
M1220,161.35,,,,,,,
M1220,162.01,,,,,,,
M1220,162.66,,,,,,,
M1220,163.32,,,,,,,
M1220,163.98,,,,,,,
M1220,164.63,,,,,,,
M1220,165.29,,,,,,,
M1220,165.94,,,,,,,
M1220,166.60,,,,,,,
M1220,167.25,,,,,,,
M1220,167.91,,,,,,,
M1220,168.57,,,,,,,
M1220,169.22,,,,,,,
M1220,169.88,,,,,,,
M1220,170.53,,,,,,,
M1220,171.19,,,,,,,
M1220,171.85,,,,,,,
M1220,172.50,,,,,,,
M1220,173.16,,,,,,,
M1220,173.81,,,,,,,
M1220,174.47,,,,,,,
M1220,175.13,,,,,,,
M1220,175.78,,,,,,,
M1220,176.44,,,,,,,
M1220,177.09,,,,,,,
M1220,177.75,,,,,,,
M1220,178.40,,,,,,,
M1220,179.06,,,,,,,
M1220,179.72,,,,,,,
M1220,180.37,,,,,,,
M1220,181.03,,,,,,,
M1220,181.68,,,,,,,
M1220,182.34,,,,,,,
M1220,183.00,,,,,,,
M1220,183.65,,,,,,,
M1220,184.31,,,,,,,
M1220,184.96,,,,,,,
M1220,185.62,,,,,,,
M1220,186.28,,,,,,,
M1220,186.93,,,,,,,
M1220,187.59,,,,,,,
M1220,188.24,,,,,,,
M1220,188.90,,,,,,,
M1220,189.56,,,,,,,
M1220,190.21,,,,,,,
M1220,190.87,,,,,,,
M1220,191.52,,,,,,,
M1220,192.18,,,,,,,
M1220,192.83,,,,,,,
M1220,193.49,,,,,,,
M1220,194.15,,,,,,,
M1220,194.80,,,,,,,
M1220,195.46,,,,,,,
M1220,196.11,,,,,,,
M1220,196.77,,,,,,,
M1220,197.43,,,,,,,
M1220,198.08,,,,,,,
M1220,198.74,,,,,,,
M1220,199.39,,,,,,,
M1220,200.05,,,,,,,
M1220,200.71,,,,,,,
,,,,,,,,
M1230,1.97,,,,,,,
M1230,2.62,,,,,,,
M1230,3.28,,,,,,,
M1230,3.94,,,,,,,
M1230,4.59,,,,,,,
M1230,5.25,,,,,,,
M1230,5.90,,,,,,,
M1230,6.56,,,,,,,
M1230,7.21,,,,,,,
M1230,7.87,,,,,,,
M1230,8.53,,,,,,,
M1230,9.18,,,,,,,
M1230,9.84,,,,,,,
M1230,10.49,,,,,,,
M1230,11.15,,,,,,,
M1230,11.81,,,,,,,
M1230,12.46,,,,,,,
M1230,13.12,,,,,,,
M1230,13.77,,,,,,,
M1230,14.43,,,,,,,
M1230,15.09,,,,,,,
M1230,15.74,,,,,,,
M1230,16.40,,,,,,,
M1230,17.05,,,,,,,
M1230,17.71,,,,,,,
M1230,18.37,,,,,,,
M1230,19.02,,,,,,,
M1230,19.68,,,,,,,
M1230,20.33,,,,,,,
M1230,20.99,,,,,,,
M1230,21.64,,,,,,,
M1230,22.30,,,,,,,
M1230,22.96,,,,,,,
M1230,23.61,,,,,,,
M1230,24.27,,,,,,,
M1230,24.92,,,,,,,
M1230,25.58,,,,,,,
M1230,26.24,,,,,,,
M1230,26.89,,,,,,,
M1230,27.55,,,,,,,
M1230,28.20,,,,,,,
M1230,28.86,,,,,,,
M1230,29.52,,,,,,,
M1230,30.17,,,,,,,
M1230,30.83,,,,,,,
M1230,31.48,,,,,,,
M1230,32.14,,,,,,,
M1230,32.80,,,,,,,
M1230,33.45,,,,,,,
M1230,34.11,,,,,,,
M1230,34.76,,,,,,,
M1230,35.42,,,,,,,
M1230,36.07,,,,,,,
M1230,36.73,,,,,,,
M1230,37.39,,,,,,,
M1230,38.04,,,,,,,
M1230,38.70,,,,,,,
M1230,39.35,,,,,,,
M1230,40.01,,,,,,,
M1230,40.67,,,,,,,
M1230,41.32,,,,,,,
M1230,41.98,,,,,,,
M1230,42.63,,,,,,,
M1230,43.29,,,,,,,
M1230,43.95,,,,,,,
M1230,44.60,,,,,,,
M1230,45.26,,,,,,,
M1230,45.91,,,,,,,
M1230,46.57,,,,,,,
M1230,47.22,,,,,,,
M1230,47.88,,,,,,,
M1230,48.54,,,,,,,
M1230,49.19,,,,,,,
M1230,49.85,,,,,,,
M1230,50.50,,,,,,,
M1230,51.16,,,,,,,
M1230,51.82,,,,,,,
M1230,52.47,,,,,,,
M1230,53.13,,,,,,,
M1230,53.78,,,,,,,
M1230,54.44,,,,,,,
M1230,55.10,,,,,,,
M1230,55.75,,,,,,,
M1230,56.41,,,,,,,
M1230,57.06,,,,,,,
M1230,57.72,,,,,,,
M1230,58.38,,,,,,,
M1230,59.03,,,,,,,
M1230,59.69,,,,,,,
M1230,60.34,,,,,,,
M1230,61.00,,,,,,,
M1230,61.65,,,,,,,
M1230,62.31,,,,,,,
M1230,62.97,,,,,,,
M1230,63.62,,,,,,,
M1230,64.28,,,,,,,
M1230,64.93,,,,,,,
M1230,65.59,,,,,,,
M1230,66.25,,,,,,,
M1230,66.90,,,,,,,
M1230,67.56,,,,,,,
M1230,68.21,,,,,,,
M1230,68.87,,,,,,,
M1230,69.53,,,,,,,
M1230,70.18,,,,,,,
M1230,70.84,,,,,,,
M1230,71.49,,,,,,,
M1230,72.15,,,,,,,
M1230,72.80,,,,,,,
M1230,73.46,,,,,,,
M1230,74.12,,,,,,,
M1230,74.77,,,,,,,
M1230,75.43,,,,,,,
M1230,76.08,,,,,,,
M1230,76.74,,,,,,,
M1230,77.40,,,,,,,
M1230,78.05,,,,,,,
M1230,78.71,,,,,,,
M1230,79.36,,,,,,,
M1230,80.02,,,,,,,
M1230,80.68,,,,,,,
M1230,81.33,,,,,,,
M1230,81.99,,,,,,,
M1230,82.64,,,,,,,
M1230,83.30,,,,,,,
M1230,83.96,,,,,,,
M1230,84.61,,,,,,,
M1230,85.27,,,,,,,
M1230,85.92,,,,,,,
M1230,86.58,,,,,,,
M1230,87.23,,,,,,,
M1230,87.89,,,,,,,
M1230,88.55,,,,,,,
M1230,89.20,,,,,,,
M1230,89.86,,,,,,,
M1230,90.51,,,,,,,
M1230,91.17,,,,,,,
M1230,91.83,,,,,,,
M1230,92.48,,,,,,,
M1230,93.14,,,,,,,
M1230,93.79,,,,,,,
M1230,94.45,,,,,,,
M1230,95.11,,,,,,,
M1230,95.76,,,,,,,
M1230,96.42,,,,,,,
M1230,97.07,,,,,,,
M1230,97.73,,,,,,,
M1230,98.39,,,,,,,
M1230,99.04,,,,,,,
M1230,99.70,,,,,,,
M1230,100.35,,,,,,,
M1230,101.01,,,,,,,
M1230,101.66,,,,,,,
M1230,102.32,,,,,,,
M1230,102.98,,,,,,,
M1230,103.63,,,,,,,
M1230,104.29,,,,,,,
M1230,104.94,,,,,,,
M1230,105.60,,,,,,,
M1230,106.26,,,,,,,
M1230,106.91,,,,,,,
M1230,107.57,,,,,,,
M1230,108.22,,,,,,,
M1230,108.88,,,,,,,
M1230,109.54,,,,,,,
M1230,110.19,,,,,,,
M1230,110.85,,,,,,,
M1230,111.50,,,,,,,
M1230,112.16,,,,,,,
M1230,112.81,,,,,,,
M1230,113.47,,,,,,,
M1230,114.13,,,,,,,
M1230,114.78,,,,,,,
M1230,115.44,,,,,,,
M1230,116.09,,,,,,,
M1230,116.75,,,,,,,
M1230,117.41,,,,,,,
M1230,118.06,,,,,,,
M1230,118.72,,,,,,,
M1230,119.37,,,,,,,
M1230,120.03,,,,,,,
M1230,120.69,,,,,,,
M1230,121.34,,,,,,,
M1230,122.00,,,,,,,
M1230,122.65,,,,,,,
M1230,123.31,,,,,,,
M1230,123.97,,,,,,,
M1230,124.62,,,,,,,
M1230,125.28,,,,,,,
M1230,125.93,,,,,,,
M1230,126.59,,,,,,,
M1230,127.24,,,,,,,
M1230,127.90,,,,,,,
M1230,128.56,,,,,,,
M1230,129.21,,,,,,,
M1230,129.87,,,,,,,
M1230,130.52,,,,,,,
M1230,131.18,,,,,,,
M1230,131.84,,,,,,,
M1230,132.49,,,,,,,
M1230,133.15,,,,,,,
M1230,133.80,,,,,,,
M1230,134.46,,,,,,,
M1230,135.12,,,,,,,
M1230,135.77,,,,,,,
M1230,136.43,,,,,,,
M1230,137.08,,,,,,,
M1230,137.74,,,,,,,
M1230,138.39,,,,,,,
M1230,139.05,,,,,,,
M1230,139.71,,,,,,,
M1230,140.36,,,,,,,
M1230,141.02,,,,,,,
M1230,141.67,,,,,,,
M1230,142.33,,,,,,,
M1230,142.99,,,,,,,
M1230,143.64,,,,,,,
M1230,144.30,,,,,,,
M1230,144.95,,,,,,,
M1230,145.61,,,,,,,
M1230,146.27,,,,,,,
M1230,146.92,,,,,,,
M1230,147.58,,,,,,,
M1230,148.23,,,,,,,
M1230,148.89,,,,,,,
M1230,149.55,,,,,,,
M1230,150.20,,,,,,,
M1230,150.86,,,,,,,
M1230,151.51,,,,,,,
M1230,152.17,,,,,,,
M1230,152.82,,,,,,,
M1230,153.48,,,,,,,
M1230,154.14,,,,,,,
M1230,154.79,,,,,,,
M1230,155.45,,,,,,,
M1230,156.10,,,,,,,
M1230,156.76,,,,,,,
M1230,157.42,,,,,,,
M1230,158.07,,,,,,,
M1230,158.73,,,,,,,
M1230,159.38,,,,,,,
M1230,160.04,,,,,,,
M1230,160.70,,,,,,,
M1230,161.35,,,,,,,
M1230,162.01,,,,,,,
M1230,162.66,,,,,,,
M1230,163.32,,,,,,,
M1230,163.98,,,,,,,
M1230,164.63,,,,,,,
M1230,165.29,,,,,,,
M1230,165.94,,,,,,,
M1230,166.60,,,,,,,
M1230,167.25,,,,,,,
M1230,167.91,,,,,,,
M1230,168.57,,,,,,,
M1230,169.22,,,,,,,
M1230,169.88,,,,,,,
M1230,170.53,,,,,,,
M1230,171.19,,,,,,,
M1230,171.85,,,,,,,
M1230,172.50,,,,,,,
M1230,173.16,,,,,,,
M1230,173.81,,,,,,,
M1230,174.47,,,,,,,
M1230,175.13,,,,,,,
M1230,175.78,,,,,,,
M1230,176.44,,,,,,,
M1230,177.09,,,,,,,
M1230,177.75,,,,,,,
M1230,178.40,,,,,,,
M1230,179.06,,,,,,,
M1230,179.72,,,,,,,
M1230,180.37,,,,,,,
M1230,181.03,,,,,,,
M1230,181.68,,,,,,,
M1230,182.34,,,,,,,
M1230,183.00,,,,,,,
M1230,183.65,,,,,,,
M1230,184.31,,,,,,,
M1230,184.96,,,,,,,
M1230,185.62,,,,,,,
M1230,186.28,,,,,,,
M1230,186.93,,,,,,,
M1230,187.59,,,,,,,
M1230,188.24,,,,,,,
M1230,188.90,,,,,,,
M1230,189.56,,,,,,,
M1230,190.21,,,,,,,
M1230,190.87,,,,,,,
M1230,191.52,,,,,,,
M1230,192.18,,,,,,,
M1230,192.83,,,,,,,
M1230,193.49,,,,,,,
M1230,194.15,,,,,,,
M1230,194.80,,,,,,,
M1230,195.46,,,,,,,
M1230,196.11,,,,,,,
M1230,196.77,,,,,,,
M1230,197.43,,,,,,,
M1230,198.08,,,,,,,
M1230,198.74,,,,,,,
M1230,199.39,,,,,,,
M1230,200.05,,,,,,,
M1230,200.71,,,,,,,
,,,,,,m1280,,
M1233,3.94,,,,,5.99,0.00,5.99
M1233,4.60,,,,,6.66,5.99,6.66
M1233,5.25,,,,,7.33,6.66,7.33
M1233,5.91,,,,,7.99,7.33,7.99
M1233,6.56,,,,,8.66,7.99,8.66
M1233,7.22,,,,,9.33,8.66,9.33
M1233,7.88,,,,,9.99,9.33,9.99
M1233,8.53,,,,,10.66,9.99,10.66
M1233,9.19,,,,,11.33,10.66,11.33
M1233,9.84,,,,,11.99,11.33,11.99
M1233,10.50,,,,,12.66,11.99,12.66
M1233,11.15,,,,,13.33,12.66,13.33
M1233,11.81,,,,,13.99,13.33,13.99
M1233,12.47,,,,,14.66,13.99,14.66
M1233,13.12,,,,,15.33,14.66,15.33
M1233,13.78,,,,,15.99,15.33,15.99
M1233,14.43,,,,,16.66,15.99,16.66
M1233,15.09,,,,,17.33,16.66,17.33
M1233,15.75,,,,,17.99,17.33,17.99
M1233,16.40,,,,,18.66,17.99,18.66
M1233,17.06,,,,,19.33,18.66,19.33
M1233,17.71,,,,,19.99,19.33,19.99
M1233,18.37,,,,,20.66,19.99,20.66
M1233,19.03,,,,,21.33,20.66,21.33
M1233,19.68,,,,,21.99,21.33,21.99
M1233,20.34,,,,,22.66,21.99,22.66
M1233,20.99,,,,,23.33,22.66,23.33
M1233,21.65,,,,,23.99,23.33,23.99
M1233,22.31,,,,,24.66,23.99,24.66
M1233,22.96,,,,,25.33,24.66,25.33
M1233,23.62,,,,,25.99,25.33,25.99
M1233,24.27,,,,,26.66,25.99,26.66
M1233,24.93,,,,,27.33,26.66,27.33
M1233,25.58,,,,,27.99,27.33,27.99
M1233,26.24,,,,,28.66,27.99,28.66
M1233,26.90,,,,,29.33,28.66,29.33
M1233,27.55,,,,,29.99,29.33,29.99
M1233,28.21,,,,,30.66,29.99,30.66
M1233,28.86,,,,,31.33,30.66,31.33
M1233,29.52,,,,,31.99,31.33,31.99
M1233,30.18,,,,,32.66,31.99,32.66
M1233,30.83,,,,,33.33,32.66,33.33
M1233,31.49,,,,,33.99,33.33,33.99
M1233,32.14,,,,,34.66,33.99,34.66
M1233,32.80,,,,,35.33,34.66,35.33
M1233,33.46,,,,,35.99,35.33,35.99
M1233,34.11,,,,,36.66,35.99,36.66
M1233,34.77,,,,,37.33,36.66,37.33
M1233,35.42,,,,,37.99,37.33,37.99
M1233,36.08,,,,,38.66,37.99,38.66
M1233,36.74,,,,,39.33,38.66,39.33
M1233,37.39,,,,,39.99,39.33,39.99
M1233,38.05,,,,,40.66,39.99,40.66
M1233,38.70,,,,,41.33,40.66,41.33
M1233,39.36,,,,,41.99,41.33,41.99
M1233,40.01,,,,,42.66,41.99,42.66
M1233,40.67,,,,,43.33,42.66,43.33
M1233,41.33,,,,,43.99,43.33,43.99
M1233,41.98,,,,,44.66,43.99,44.66
M1233,42.64,,,,,45.33,44.66,45.33
M1233,43.29,,,,,45.99,45.33,45.99
M1233,43.95,,,,,46.66,45.99,46.66
M1233,44.61,,,,,47.33,46.66,47.33
M1233,45.26,,,,,47.99,47.33,47.99
M1233,45.92,,,,,48.66,47.99,48.66
M1233,46.57,,,,,49.33,48.66,49.33
M1233,47.23,,,,,49.99,49.33,49.99
M1233,47.89,,,,,50.66,49.99,50.66
M1233,48.54,,,,,51.33,50.66,51.33
M1233,49.20,,,,,51.99,51.33,51.99
M1233,49.85,,,,,52.66,51.99,52.66
M1233,50.51,,,,,53.33,52.66,53.33
M1233,51.16,,,,,53.99,53.33,53.99
M1233,51.82,,,,,,,
M1233,52.48,,,,,,,
M1233,53.13,,,,,,,
M1233,53.79,,,,,,,
M1233,54.44,,,,,,,
M1233,55.10,,,,,,,
M1233,55.76,,,,,,,
M1233,56.41,,,,,,,
M1233,57.07,,,,,,,
M1233,57.72,,,,,,,
M1233,58.38,,,,,,,
M1233,59.04,,,,,,,
M1233,59.69,,,,,,,
M1233,60.35,,,,,,,
M1233,61.00,,,,,,,
M1233,61.66,,,,,,,
M1233,62.32,,,,,,,
M1233,62.97,,,,,,,
M1233,63.63,,,,,,,
M1233,64.28,,,,,,,
M1233,64.94,,,,,,,
M1233,65.59,,,,,,,
M1233,66.25,,,,,,,
M1233,66.91,,,,,,,
M1233,67.56,,,,,,,
M1233,68.22,,,,,,,
M1233,68.87,,,,,,,
M1233,69.53,,,,,,,
M1233,70.19,,,,,,,
M1233,70.84,,,,,,,
M1233,71.50,,,,,,,
M1233,72.15,,,,,,,
M1233,72.81,,,,,,,
M1233,73.47,,,,,,,
M1233,74.12,,,,,,,
M1233,74.78,,,,,,,
M1233,75.43,,,,,,,
M1233,76.09,,,,,,,
M1233,76.74,,,,,,,
M1233,77.40,,,,,,,
M1233,78.06,,,,,,,
M1233,78.71,,,,,,,
M1233,79.37,,,,,,,
M1233,80.02,,,,,,,
M1233,80.68,,,,,,,
M1233,81.34,,,,,,,
M1233,81.99,,,,,,,
M1233,82.65,,,,,,,
M1233,83.30,,,,,,,
M1233,83.96,,,,,,,
M1233,84.62,,,,,,,
M1233,85.27,,,,,,,
M1233,85.93,,,,,,,
M1233,86.58,,,,,,,
M1233,87.24,,,,,,,
M1233,87.90,,,,,,,
M1233,88.55,,,,,,,
M1233,89.21,,,,,,,
M1233,89.86,,,,,,,
M1233,90.52,,,,,,,
M1233,91.17,,,,,,,
M1233,91.83,,,,,,,
M1233,92.49,,,,,,,
M1233,93.14,,,,,,,
M1233,93.80,,,,,,,
M1233,94.45,,,,,,,
M1233,95.11,,,,,,,
M1233,95.77,,,,,,,
M1233,96.42,,,,,,,
M1233,97.08,,,,,,,
M1233,97.73,,,,,,,
M1233,98.39,,,,,,,
M1233,99.05,,,,,,,
M1233,99.70,,,,,,,
M1233,100.36,,,,,,,
M1233,101.01,,,,,,,
M1233,101.67,,,,,,,
M1233,102.33,,,,,,,
M1233,102.98,,,,,,,
M1233,103.64,,,,,,,
M1233,104.29,,,,,,,
M1233,104.95,,,,,,,
M1233,105.60,,,,,,,
M1233,106.26,,,,,,,
M1233,106.92,,,,,,,
M1233,107.57,,,,,,,
M1233,108.23,,,,,,,
M1233,108.88,,,,,,,
M1233,109.54,,,,,,,
M1233,110.20,,,,,,,
M1233,110.85,,,,,,,
M1233,111.51,,,,,,,
M1233,112.16,,,,,,,
M1233,112.82,,,,,,,
M1233,113.48,,,,,,,
M1233,114.13,,,,,,,
M1233,114.79,,,,,,,
M1233,115.44,,,,,,,
M1233,116.10,,,,,,,
M1233,116.75,,,,,,,
M1233,117.41,,,,,,,
M1233,118.07,,,,,,,
M1233,118.72,,,,,,,
M1233,119.38,,,,,,,
M1233,120.03,,,,,,,
M1233,120.69,,,,,,,
M1233,121.35,,,,,,,
M1233,122.00,,,,,,,
M1233,122.66,,,,,,,
M1233,123.31,,,,,,,
M1233,123.97,,,,,,,
M1233,124.63,,,,,,,
M1233,125.28,,,,,,,
M1233,125.94,,,,,,,
M1233,126.59,,,,,,,
M1233,127.25,,,,,,,
M1233,127.91,,,,,,,
